P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score,goal_x,goal_y,obs_0_x,obs_0_y,obs_0_width,obs_0_height,obs_1_x,obs_1_y,obs_1_width,obs_1_height,obs_2_x,obs_2_y,obs_2_width,obs_2_height,obs_3_x,obs_3_y,obs_3_width,obs_3_height,obs_4_x,obs_4_y,obs_4_width,obs_4_height,obs_5_x,obs_5_y,obs_5_width,obs_5_height,obs_6_x,obs_6_y,obs_6_width,obs_6_height,obs_7_x,obs_7_y,obs_7_width,obs_7_height,obs_8_x,obs_8_y,obs_8_width,obs_8_height,obs_9_x,obs_9_y,obs_9_width,obs_9_height,obs_10_x,obs_10_y,obs_10_width,obs_10_height,obs_11_x,obs_11_y,obs_11_width,obs_11_height,obs_12_x,obs_12_y,obs_12_width,obs_12_height,obs_13_x,obs_13_y,obs_13_width,obs_13_height,obs_14_x,obs_14_y,obs_14_width,obs_14_height,obs_15_x,obs_15_y,obs_15_width,obs_15_height,obs_16_x,obs_16_y,obs_16_width,obs_16_height,obs_17_x,obs_17_y,obs_17_width,obs_17_height,obs_18_x,obs_18_y,obs_18_width,obs_18_height,obs_19_x,obs_19_y,obs_19_width,obs_19_height,obs_20_x,obs_20_y,obs_20_width,obs_20_height,obs_21_x,obs_21_y,obs_21_width,obs_21_height,obs_22_x,obs_22_y,obs_22_width,obs_22_height,obs_23_x,obs_23_y,obs_23_width,obs_23_height,obs_24_x,obs_24_y,obs_24_width,obs_24_height,obs_25_x,obs_25_y,obs_25_width,obs_25_height,obs_26_x,obs_26_y,obs_26_width,obs_26_height,obs_27_x,obs_27_y,obs_27_width,obs_27_height,obs_28_x,obs_28_y,obs_28_width,obs_28_height,obs_29_x,obs_29_y,obs_29_width,obs_29_height
-4,282,2,1,0,-9100,30,307,0,0,0,100,15:53:11,198464,-9000,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9150,29,307,0,0,0,100,15:53:11,198500,-9050,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9200,28,307,0,0,0,100,15:53:11,198536,-9100,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9250,27,307,0,0,0,100,15:53:11,198571,-9150,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9300,27,307,4,0,0,100,15:53:11,198607,-9200,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9350,27,307,4,0,0,100,15:53:11,198643,-9250,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9400,27,307,4,0,0,100,15:53:11,198679,-9300,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9450,27,307,4,0,0,100,15:53:11,198714,-9350,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9500,27,307,4,0,0,100,15:53:11,198750,-9400,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9550,27,307,4,0,0,100,15:53:11,198786,-9450,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9600,27,307,4,0,0,100,15:53:11,198821,-9500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9650,27,307,4,0,0,100,15:53:11,198857,-9550,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9700,27,307,4,0,0,100,15:53:11,198893,-9600,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9750,27,307,4,0,0,100,15:53:11,198929,-9650,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9800,27,307,4,0,0,100,15:53:11,198964,-9700,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9850,27,307,4,0,0,100,15:53:12,199000,-9750,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9900,27,307,4,0,0,100,15:53:12,199037,-9800,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-9950,27,307,4,0,0,100,15:53:12,199074,-9850,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10000,27,307,4,0,0,100,15:53:12,199111,-9900,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10050,27,307,4,0,0,100,15:53:12,199148,-9950,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10100,27,307,4,0,0,100,15:53:12,199185,-10000,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10150,27,307,4,0,0,100,15:53:12,199222,-10050,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10200,27,307,4,0,0,100,15:53:12,199259,-10100,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10250,27,307,4,0,0,100,15:53:12,199296,-10150,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10300,27,307,4,0,0,100,15:53:12,199333,-10200,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10350,27,307,4,0,0,100,15:53:12,199370,-10250,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10400,27,307,4,0,0,100,15:53:12,199407,-10300,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10450,27,307,4,0,0,100,15:53:12,199444,-10350,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10500,27,307,4,0,0,100,15:53:12,199481,-10400,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-4,282,2,1,0,-10550,27,307,4,0,0,100,15:53:12,199519,-10450,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-3,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199556,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-2,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199593,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
-1,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199630,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
0,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199667,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
1,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199704,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
2,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199741,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
3,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199778,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
4,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199815,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
5,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199852,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
6,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199889,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
7,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199926,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
8,282,1,0,0,-10600,27,307,4,0,0,100,15:53:12,199963,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
8,282,1,1,0,-10600,27,307,4,0,0,100,15:53:13,200000,-10500,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
8,282,1,1,0,-10650,27,307,4,0,0,100,15:53:13,200036,-10550,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
8,282,1,1,0,-10700,27,307,4,0,0,100,15:53:13,200071,-10600,13,139,546,336,75,42,487,235,35,40,639,79,65,55,726,61,37,78,385,429,89,87,531,352,84,37,692,194,45,95,34,142,62,72,176,277,96,73,667,113,99,100,13,231,42,51,613,266,99,30,457,208,85,64,523,198,57,73,668,363,37,78,16,173,36,37,3,435,84,80,594,99,55,46,383,14,52,93,596,24,33,31,265,480,74,35,607,50,54,40,285,432,100,78,330,381,46,68,695,282,92,88,216,409,40,99,266,32,56,54,197,49,61,61,110,481,56,60,223,327,40,73
